"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTD-2196E14.9",129.47225501782,9.94715910635042,0.861054573580445,11.5522980906867,7.1872517457386e-31,8.89311096539089e-29
"CTD-2196P11.2",0.958036496663541,-0.391116139579158,1.3719022021005,-0.285090394184312,0.775574889151327,0.832112346540351
"CTD-2199O4.1",11.1426739392687,-0.676439352842596,0.496784291186931,-1.36163595516764,0.173312802283059,0.257451219285177
"CTD-2199O4.6",19.2690794739186,-2.98799792293307,0.433979738729257,-6.88510927188047,5.7743193954961e-12,9.87602859789925e-11
"CTD-2201E18.3",207.978437471461,-0.568013719273572,0.769625953252197,-0.738038675636295,0.460490947207686,0.557791252175159
"CTD-2201E18.5",15.4945215683169,0.526849000390324,0.763736082233899,0.689831229198063,0.490300327293913,0.585879768927741
"CTD-2201E9.2",1.21574002822999,-4.27060800912225,2.2255148487962,-1.91893035961196,0.0549931478326124,0.10075531586131
"CTD-2201G3.1",1.60236831795429,-3.89915903190405,1.52366790974626,-2.55906093904241,0.0104955341427315,0.0250402795638038
"CTD-2201I18.1",4.24288180760795,1.44950016379738,0.61581134293806,2.35380556142691,0.0185823282689083,0.0406314979835602
"CTD-2203A3.1",10.4047444126585,1.35555956546108,1.5727160191898,0.861922654135239,0.388730081758865,0.488669274277586
"CTD-2203K17.1",29.2610474669048,-1.12377854050996,0.466122189575681,-2.41090976924517,0.0159127846863454,0.0356114165267218
"CTD-2206N4.2",2.36713384799114,0.697087562098254,0.747299810308586,0.93280842906999,0.350918888371344,0.450576050067325
"CTD-2206N4.4",49.3928415284824,-1.24387618410574,0.519916289072294,-2.39245472828951,0.0167360926544544,0.0371670977596223
"CTD-2207O23.11",3.27755922233422,4.11811251145389,0.925538725737994,4.4494221548323,8.61016299573403e-06,4.73965744119501e-05
"CTD-2207O23.12",2.82545007837265,4.43345786541328,1.21375682859663,3.65267388076353,0.000259523745074021,0.000996337452944799
"CTD-2210P24.1",0.724288639042366,-3.49182123789619,2.47631932040011,-1.41008520554288,0.158514525180292,0.239592464306885
"CTD-2213F21.2",3.59422951259524,0.900488332379568,0.728975965933451,1.23527849265441,0.216726875280523,0.308252395114417
"CTD-2215E18.1",1.51654529714959,-1.61092902078138,0.94806976601775,-1.69916716946674,0.0892876903340595,0.15010466349054
"CTD-2223O18.1",31.4717170219368,-0.0836898113494852,0.467106781042998,-0.179166337860938,0.857807094501734,0.895157695706936
"CTD-2224J9.8",6.68969075035301,1.12366955310479,0.62963992806085,1.7846224532892,0.0743225768996731,0.129074434258009
"CTD-2227C6.2",3.17525178746187,-2.10283972853606,0.793380687216644,-2.65048010673576,0.00803774606245712,0.0199085501231666
"CTD-2227E11.1",36.8906818277963,-0.774888109133467,0.663585152153513,-1.16772972785594,0.242915801518668,0.337401155996028
"CTD-2228A4.1",0.990015675713091,-1.00940208409307,2.17905992146947,-0.463228236244359,0.643200778861198,0.722952545811575
"CTD-2228K2.1",1.24427410915741,2.73621247650349,1.0909330740832,2.50813962974123,0.0121368696907454,0.0283159873212085
"CTD-2228K2.7",1282.93310207321,0.125816226574487,0.546575886276509,0.230189859694684,0.81794424110085,0.864534631974304
"CTD-2231E14.8",6.68966028175031,2.51136819670951,0.591602360097131,4.24502734623504,2.18566763902173e-05,0.00011022544609126
"CTD-2234N14.1",0.73573272282897,2.49381806165936,1.45243891547265,1.71698653560782,0.0859816321439225,0.145464028716085
"CTD-2234N14.2",1.51031516832424,1.89636411705704,1.30023507893212,1.45847789202435,0.14470886455319,0.222611876354132
"CTD-2235C13.2",1.42455886537978,0.492693869147573,1.04432013724345,0.471784323194295,0.637080741773497,0.717838901722705
"CTD-2235C13.3",2.50971800955868,0.816532399572642,0.697654484687676,1.170396546563,0.24184142478247,0.336176050236963
"CTD-2240E14.4",2.30085933633345,3.60811783205304,1.05033520257099,3.43520604014906,0.000592103459086812,0.00206220308618929
"CTD-2240J17.1",2.79349310704774,-2.37146521461598,1.06494292579452,-2.2268472395802,0.0259574849898596,0.0538243445244279
"CTD-2245E15.3",36.1245924438855,-1.50058129164002,0.67080467149747,-2.23698694329334,0.0252871934117468,0.0526648601002522
"CTD-2245F17.3",98.9829553309045,-1.56460996286342,0.347400866223271,-4.50375953253339,6.67617465074239e-06,3.75261402881126e-05
"CTD-2245F17.9",2.87054039007112,1.74054842452006,0.781187420874473,2.22808045548361,0.0258751503518308,0.053697417769098
"CTD-2246P4.1",8.96620746659362,-1.72589225040458,0.457641325190104,-3.77127710153283,0.000162414195801939,0.00065594317900136
"CTD-2248H3.1",14.2115323967087,0.671552792328784,0.40338584271243,1.66479018652008,0.0959546224815413,0.159207016914312
"CTD-2249K22.1",1.08071190083273,-2.90196811373339,1.50890799312288,-1.92322403152455,0.0544519204517263,0.0999421130654796
"CTD-2256P15.2",91.3301319903449,-0.643224243451218,0.309283844242013,-2.07972144496464,0.0375510899400873,0.0733602542325417
"CTD-2256P15.4",9.7655414371976,0.76427137644711,0.418336895501424,1.82692797280299,0.0677105997594956,0.119695253282416
"CTD-2256P15.5",2.4997795242294,0.386622357255084,0.772596191718859,0.500419703590478,0.616779582303376,0.700240519651317
"CTD-2260A17.1",7.62908112538657,0.369867429529936,0.534024980586992,0.692603235757593,0.488558579137258,0.584222882488531
"CTD-2260A17.2",85.617563651361,0.421174213175518,0.624211211994402,0.674730291738649,0.499847135468424,0.594720899299622
"CTD-2260A17.3",2.58471538293752,3.16736987919357,0.991457045236307,3.19466172983686,0.00139994821739309,0.00440361664242748
"CTD-2262B20.1",8.40076504631524,-2.32885291724388,1.06332814742654,-2.19015449076576,0.0285130344687716,0.0582849777693516
"CTD-2265O21.3",15.6378897464955,1.26746267239254,0.410423606058854,3.08818170709896,0.00201385293934805,0.00603788823801104
"CTD-2265O21.7",3.58545310969515,2.57787256200863,0.836401658820055,3.08209881559218,0.00205546591371669,0.00614617716116056
"CTD-2267D19.3",74.3506176279454,-0.244332718644353,0.312207602038504,-0.782596954875623,0.433863830256889,0.532667522031156
"CTD-2267D19.4",1.9430087535032,0.480903522557326,0.863360249075296,0.5570137414508,0.577518040580881,0.664734080543476
