,SC4.435_flank,SC4.613_flank,SC4.616_flank,SC4.917_flank,SC4.918_flank,SC4.920_flank,SC39.739_flank,SC39.963_flank,SC39.964_flank,SC16.A1465,SC16.A1466,SC16.A1467,SC49.A1428,SC49.A1430,SC49.A1431,TC568c.A1531,TC568c.A1532,TC568c.A1533
FAM86B2,20,15,12,5,22,14,4,1,0,0,0,1,0,0,0,0,0,0
FAM86B3P,362,251,275,332,238,265,193,175,172,1,8,19,63,16,21,53,31,29
FAM86C1,255,224,173,247,142,217,151,131,125,17,51,51,104,91,120,56,58,125
FAM86C2P,163,168,137,180,121,145,59,76,79,4,27,29,67,62,61,47,42,57
FAM86DP,185,192,138,183,111,159,111,75,103,16,55,30,165,135,190,117,84,187
FAM86EP,113,101,101,103,80,100,72,53,54,1,9,10,60,28,75,40,32,63
FAM86FP,39,28,26,26,26,26,28,17,19,0,2,0,22,23,16,38,28,53
FAM86GP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
FAM86HP,92,111,96,156,122,145,36,36,40,4,8,7,21,7,27,18,19,24
FAM86JP,82,73,73,109,64,100,70,47,63,7,14,8,52,38,93,46,29,84
FAM86KP,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0
FAM86LP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM86MP,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FAM87A,3,7,4,14,7,11,4,0,3,0,0,0,0,0,0,0,0,0
FAM87B,0,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1
FAM89A,93,63,80,56,88,67,20,47,47,183,244,172,52,14,46,45,38,90
FAM89B,449,479,390,337,480,592,667,653,527,26,110,87,31,30,29,17,24,40
FAM8A1,913,1039,836,1115,420,642,820,639,581,186,941,538,3396,3847,4980,1541,2211,4249
FAM8A2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM8A3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM8A4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM8A6P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
FAM90A1,111,117,117,96,84,111,25,12,9,0,1,0,6,3,9,11,16,7
FAM90A10P,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0
FAM90A11P,1,0,1,0,0,0,2,0,3,0,2,1,3,1,5,5,3,1
FAM90A12P,5,0,1,1,3,0,2,2,8,0,7,4,16,16,23,9,11,8
FAM90A13P,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A14P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A15P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A16P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A17P,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0
FAM90A18P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A19P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A20P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A21P,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FAM90A22P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FAM90A23P,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1
FAM90A24P,0,0,1,0,0,2,5,5,11,0,9,0,44,21,43,17,22,7
FAM90A25P,6,9,3,18,22,11,0,1,0,0,0,0,0,0,0,0,1,0
FAM90A26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FAM90A27P,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
FAM90A28P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A2P,5,11,2,13,9,16,3,1,2,0,0,0,1,0,0,0,0,0
FAM90A3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A5P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FAM90A9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM91A1,1385,1347,1065,2126,891,904,1879,1771,1711,545,1771,1353,1870,1622,2255,1277,1484,2634
FAM92A1,495,546,503,684,408,407,1093,914,942,204,841,594,636,296,638,517,628,711
FAM92A1P1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0
FAM92A1P2,1,1,2,1,2,4,0,4,3,3,11,7,6,1,0,6,1,0
FAM92B,1,4,3,3,3,1,10,22,25,0,1,0,5,0,4,6,9,3
FAM95B1,1087,756,954,344,263,643,2057,1502,1264,48,103,77,12,0,3,11,13,4
FAM96A,984,1021,920,1324,775,874,884,847,732,538,1819,1475,1803,1627,2251,993,1260,2457
FAM96AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM96AP2,2,3,3,0,1,0,2,5,5,1,3,0,2,0,0,0,0,0
FAM96B,628,617,546,465,470,615,773,660,674,227,1418,795,798,457,759,408,462,1019
FAM98A,762,806,638,593,457,591,528,444,470,180,773,437,850,881,1032,557,707,1209
FAM98B,722,809,819,1177,707,653,1849,1502,1587,663,2117,1838,3542,4246,6174,2150,2665,5666
FAM98C,414,417,418,270,378,445,553,512,556,348,523,411,743,315,269,445,328,483
FAM99A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM99B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM9A,0,0,1,0,0,1,0,0,0,0,2,2,1,5,3,5,2,0
FAM9B,2,5,3,6,0,2,23,3,12,4,1,0,2,0,0,4,1,0
FAM9C,8,12,19,7,10,11,17,16,30,12,17,26,12,2,1,11,15,4
FAN1,1439,1570,1206,1712,1095,1233,3115,2382,2452,548,1127,1215,1979,1209,1822,1322,1443,2347
FANCA,3385,3648,2896,3166,2753,3002,4016,3120,3471,772,1865,1340,3354,1084,1329,2523,2404,2123
